,song_rank,song_title,song_author,song_link
27,28,"ERRO PLANEJADO - Ao Vivo - song and lyrics by Luan Santana, Henrique & Juliano ",Luan Santana,https://open.spotify.com/track/2TdOWHAolNaQx8gyRDVS1N
28,29,No Ouvidinho - song and lyrics by Felipe Amorim ,Felipe Amorim,https://open.spotify.com/track/4QWumyD2uwiePBBha9XBHI
29,30,Gostosinha é Ela - song and lyrics by Felipe Amorim ,Felipe Amorim,https://open.spotify.com/track/0XyPPyGes0omXppV5YE8gy
30,31,"202 - song and lyrics by Kweller, Enzo Cello ","Kweller, Enzo Cello",https://open.spotify.com/track/3imzmQM2DPPVBLMiBBexRL
31,32,"Meu Número - Ao Vivo - song and lyrics by Hugo & Guilherme, Jorge & Mateus ","Hugo & Guilherme, Jorge & Mateus",https://open.spotify.com/track/3XF598RmEUF3XW4XKo1lyP
32,33,"X1 - song and lyrics by MC Cabelinho, Dallass ","MC Cabelinho, Ariel Donato",https://open.spotify.com/track/0dcHD9QhnWRA41zoLnC83X
33,34,Bagulho Louco - song and lyrics by Mc Paiva ZS ,Mc Paiva ZS,https://open.spotify.com/track/04vzhKfl5HtPEgrdZJCZ7L
34,35,"Assunto Delicado - Ao Vivo - song and lyrics by Guilherme & Benuto, Xand Avião ","Guilherme & Benuto, Xand Avião",https://open.spotify.com/track/3yHXEidSu4gYVRqKoI653O
35,36,"sentaDONA (Remix) s2 - song and lyrics by Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza ","Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza",https://open.spotify.com/track/3sd2p4kE7xQmFH3lPnFl6h
36,37,"EU VOU COM CARINHO ELA QUER COM FORÇA - song and lyrics by Mc Don Juan, MC G15, Mc Davi ","Mc Don Juan, MC G15, Mc Davi",https://open.spotify.com/track/7qD2vjd3btuOgwpQPEY7ci
37,38,Yellow - song and lyrics by Coldplay ,Coldplay,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
38,39,"Kikando e Me Olhando - song and lyrics by MC Braz, MC Tairon, Dj Win ","MC Braz, MC Tairon, Dj Win",https://open.spotify.com/track/4a0sqvCBo7aRIS4GzBQpnp
39,40,"Beijo de Glicose - Ao Vivo - song and lyrics by Diego & Victor Hugo, Jorge & Mateus ","Diego & Victor Hugo, Jorge & Mateus",https://open.spotify.com/track/6gyhp7IcNhTYzwlk8utsgP
40,41,Molhando o Volante - song and lyrics by Jorge & Mateus ,Jorge & Mateus,https://open.spotify.com/track/3ITkrUvAA6gzxer2UIom3P
41,42,Dengo - song and lyrics by João Gomes ,João Gomes,https://open.spotify.com/track/6Ulh9GPYz6JKdv04qc3q2U
42,43,"Insônia - Ao vivo - song and lyrics by LUDMILLA, Marília Mendonça ",LUDMILLA,https://open.spotify.com/track/3EM71GPnUGJ75uDhkH77pq
43,44,"Vai Lá Em Casa Hoje - song and lyrics by George Henrique & Rodrigo, Marília Mendonça ","George Henrique & Rodrigo, Marília Mendonça",https://open.spotify.com/track/2wSCalnGOnXdAJC0Fn8OUY
44,45,"Bafora o Lança - Remix - song and lyrics by Mario Mc, Menor Adr ","Mario Mc, Menor Adr",https://open.spotify.com/track/4NFkcqZ3jU2O9rgEbuluVn
45,46,"Tchuco Nela - song and lyrics by MC Rogerinho, Wesley Safadão ","MC Rogerinho, Wesley Safadão",https://open.spotify.com/track/3ShKPhFkexrwl7WoyTtNND
46,47,"Tem Cabaré Essa Noite - song and lyrics by Nivaldo Marques, NATTAN ","Nivaldo Marques, NATTAN",https://open.spotify.com/track/25rz3D4oroFC0GXm3xFXnG
47,48,ABALO EMOCIONAL - Ao Vivo - song and lyrics by Luan Santana ,Luan Santana,https://open.spotify.com/track/5A35xC90Nk6tXmcOAOOavi
48,49,Pino da Granada (Ao Vivo em Rio Preto) - song and lyrics by Murilo Huff ,Murilo Huff,https://open.spotify.com/track/0MKd4uZd8Ag8qyReZBTarP
49,50,Ai Eu Chorei - Ao Vivo - song and lyrics by Clayton & Romário ,Clayton & Romário,https://open.spotify.com/track/5TPXcKSOlPaz2pkYbWiWHU
