,song_title,song_author,song_link,freq,rank_sum
33,"Perfeito Pra Ficar Sozinho - Ao Vivo - song and lyrics by Murilo Huff, Maiara & Maraisa ","Murilo Huff, Maiara & Maraisa",https://open.spotify.com/track/4cxQWmXmmbFoWvV8qipQTe,2.0,57.0
34,As It Was - song and lyrics by Harry Styles ,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,2.0,61.0
35,No Ouvidinho - song and lyrics by Felipe Amorim ,Felipe Amorim,https://open.spotify.com/track/4QWumyD2uwiePBBha9XBHI,2.0,61.0
36,"Meu Número - Ao Vivo - song and lyrics by Hugo & Guilherme, Jorge & Mateus ","Hugo & Guilherme, Jorge & Mateus",https://open.spotify.com/track/3XF598RmEUF3XW4XKo1lyP,2.0,61.0
37,"X1 - song and lyrics by MC Cabelinho, Dallass ","MC Cabelinho, Ariel Donato",https://open.spotify.com/track/0dcHD9QhnWRA41zoLnC83X,2.0,69.0
38,Nem Namorado e Nem Ficante - Ao Vivo ,"Israel & Rodolffo, Maiara & Maraisa",https://open.spotify.com/track/6bwx7pcKJY05D9S6CVa1k6,2.0,71.0
39,"202 - song and lyrics by Kweller, Enzo Cello ","Kweller, Enzo Cello",https://open.spotify.com/track/3imzmQM2DPPVBLMiBBexRL,2.0,71.0
40,Bagulho Louco - song and lyrics by Mc Paiva ZS ,Mc Paiva ZS,https://open.spotify.com/track/04vzhKfl5HtPEgrdZJCZ7L,2.0,71.0
41,Gostosinha é Ela - song and lyrics by Felipe Amorim ,Felipe Amorim,https://open.spotify.com/track/0XyPPyGes0omXppV5YE8gy,2.0,72.0
42,"EU VOU COM CARINHO ELA QUER COM FORÇA - song and lyrics by Mc Don Juan, MC G15, Mc Davi ","Mc Don Juan, MC G15, Mc Davi",https://open.spotify.com/track/7qD2vjd3btuOgwpQPEY7ci,2.0,78.0
43,"Kikando e Me Olhando - song and lyrics by MC Braz, MC Tairon, Dj Win ","MC Braz, MC Tairon, Dj Win",https://open.spotify.com/track/4a0sqvCBo7aRIS4GzBQpnp,2.0,78.0
44,Molhando o Volante - song and lyrics by Jorge & Mateus ,Jorge & Mateus,https://open.spotify.com/track/3ITkrUvAA6gzxer2UIom3P,2.0,78.0
45,"sentaDONA (Remix) s2 - song and lyrics by Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza ","Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza",https://open.spotify.com/track/3sd2p4kE7xQmFH3lPnFl6h,2.0,80.0
46,"Assunto Delicado - Ao Vivo - song and lyrics by Guilherme & Benuto, Xand Avião ","Guilherme & Benuto, Xand Avião",https://open.spotify.com/track/3yHXEidSu4gYVRqKoI653O,2.0,81.0
47,"Tchuco Nela - song and lyrics by MC Rogerinho, Wesley Safadão ","MC Rogerinho, Wesley Safadão",https://open.spotify.com/track/3ShKPhFkexrwl7WoyTtNND,2.0,81.0
48,Dengo - song and lyrics by João Gomes ,João Gomes,https://open.spotify.com/track/6Ulh9GPYz6JKdv04qc3q2U,2.0,87.0
49,"Bafora o Lança - Remix - song and lyrics by Mario Mc, Menor Adr ","Mario Mc, Menor Adr",https://open.spotify.com/track/4NFkcqZ3jU2O9rgEbuluVn,2.0,87.0
50,"Insônia - Ao vivo - song and lyrics by LUDMILLA, Marília Mendonça ",LUDMILLA,https://open.spotify.com/track/3EM71GPnUGJ75uDhkH77pq,2.0,91.0
51,"Vai Lá Em Casa Hoje - song and lyrics by George Henrique & Rodrigo, Marília Mendonça ","George Henrique & Rodrigo, Marília Mendonça",https://open.spotify.com/track/2wSCalnGOnXdAJC0Fn8OUY,2.0,94.0
52,Ai Eu Chorei - Ao Vivo - song and lyrics by Clayton & Romário ,Clayton & Romário,https://open.spotify.com/track/5TPXcKSOlPaz2pkYbWiWHU,2.0,94.0
